min_df;max_df;max_features;Accuracy
0,046583872;0,85414119;623;0,84
0,046583872;0,85414119;623;0,84
0,028816067;0,849872085;1174;0,84
0,040334503;0,900899661;708;0,84
0,032780872;0,8671201;966;0,84
0,062487049;0,761183628;423;0,84
0,037242933;0,7624434;854;0,84
0,051130437;0,966911782;617;0,84
0,05458483;0,786637832;707;0,84
0,054601545;0,759440077;636;0,84
0,045817895;0,695517698;521;0,84
0,046157695;0,808317686;403;0,84
0,054900474;0,758296072;636;0,84
0,05256354;0,763785323;423;0,84
0,050469072;0,428266147;637;0,84
0,048309406;0,954381244;463;0,84
0,041427263;0,56579607;1342;0,84
0,053108676;0,835154767;612;0,84
0,054601736;0,84798069;638;0,84
0,035482788;0,735182216;1067;0,84
0,058600408;0,338105075;665;0,84
0,056500442;0,512264387;1021;0,84
0,071296956;0,963154392;570;0,84
0,024228386;0,927466668;1087;0,84
0,031131541;0,756981236;589;0,84
0,058012239;0,833913879;655;0,84
0,066219183;0,946506262;669;0,84
0,063468249;0,892642699;513;0,84
0,054511775;0,900787779;608;0,84
0,054582365;0,279275486;879;0,84
0,10440584;0,895785842;856;0,85
0,10440584;0,97725185;856;0,85
0,10440584;0,908140601;472;0,85
0,104976817;0,867941986;785;0,85
0,016258405;0,625443817;1104;0,85
0,053842194;0,906413113;250;0,85
0,029845047;0,53865428;637;0,85
0,049628571;0,86566881;606;0,85
0,052848989;0,701617483;953;0,85
0,04827635;0,812393018;853;0,85
0,031237749;0,637858778;1047;0,85
0,044167346;0,848000025;609;0,85
0,054511775;0,7624434;499;0,85
0,055143493;0,381726315;887;0,85
0,052389289;0,69710926;526;0,85
0,055143493;0,832415688;639;0,85
0,059224512;0,5615338;658;0,85
0,052682872;0,800951173;512;0,85
0,052617957;0,79090524;514;0,85
0,054432584;0,832569677;622;0,85
0,054610078;0,739751829;486;0,85
0,054356788;0,331759522;1120;0,85
0,05401075;0,743718302;835;0,85
0,054590632;0,90814558;777;0,85
0,050007546;0,961689107;735;0,85
0,07315947;0,648861161;443;0,85
0,052375984;0,715392194;653;0,85
0,057639028;0,941414121;849;0,85
0,060755373;0,644267806;457;0,85
0,047140478;0,858506222;639;0,85
0,056793951;0,766430374;618;0,85
0,050533705;0,879556264;401;0,85
0,053443362;0,964570715;905;0,85
0,052332037;0,588145641;1134;0,85
0,002363666;0,942072869;609;0,85
0,078771115;0,976755716;1240;0,85
0,078913528;0,894548866;1134;0,85
0,076202192;0,998749477;1192;0,85
0,076083397;0,78749846;1055;0,85
0,051348325;0,697167747;443;0,85
0,079061825;0,966018163;718;0,85
0,047161518;0,747031933;608;0,85
0,034265751;0,677655171;622;0,85
0,082512563;0,703987432;560;0,85
0,04789602;0,876977228;696;0,85
0,047601288;0,648861161;659;0,85
0,048263069;0,810139761;696;0,85
0,054913659;0,405170056;1060;0,85
0,058656376;0,971612661;872;0,85
0,067433587;0,378959241;906;0,85
0,005947275;0,743982378;1288;0,85
0,051176476;0,510433708;1298;0,85
0,041533681;0,405474439;1313;0,85
0,005947985;0,513593722;765;0,85
0,037783024;0,939850425;531;0,85
0,082424456;0,78800731;1378;0,85
0,024098915;0,742107253;807;0,85
0,056961572;0,878909887;513;0,85
0,066445534;0,936703829;583;0,85
0,05712486;0,79396424;263;0,85
0,040179909;0,802521612;662;0,85
0,094098704;0,853098655;620;0,85
0,073813752;0,727302629;653;0,85
0,036603684;0,842372436;980;0,85
0,055037766;0,935981726;896;0,85
0,052684519;0,90062993;843;0,85
0,060509125;0,68327247;567;0,85
0,071006072;0,733663934;686;0,85
0,059490059;0,933570885;513;0,85
0,058711394;0,71995006;675;0,85
0,040385083;0,826939039;662;0,85
0,052194965;0,884693283;843;0,85
0,040928415;0,963459125;772;0,85
0,059864029;0,768256439;587;0,85
0,054432584;0,339876947;949;0,85
0,051015453;0,895283868;468;0,85
0,023902048;0,233166206;1338;0,85
0,039205632;0,732414285;702;0,85
0,017166134;0,406380643;1215;0,85
0,028825475;0,760305451;1209;0,85
0,055754956;0,52760059;580;0,85
0,050431915;0,701566541;456;0,85
0,041128445;0,996821001;758;0,85
0,075697682;0,902329415;950;0,85
0,075170293;0,785585788;789;0,85
0,079585119;0,72023142;839;0,85
0,075496781;0,801845992;1063;0,85
0,055141593;0,837443845;750;0,85
0,075707657;0,861227551;843;0,85
0,042064485;0,594499656;868;0,85
0,051421228;0,865737012;520;0,85
0,08680401;0,764832808;1016;0,85
0,086754275;0,769343984;850;0,85
0,040241865;0,90705184;838;0,85
0,05471702;0,546672207;562;0,85
0,05284669;0,830496807;721;0,85
0,04018329;0,668819219;1029;0,85
0,04089667;0,8024324;763;0,85
0,064942965;0,555754607;676;0,85
0,058957447;0,940741939;858;0,85
0,050188426;0,903804687;951;0,85
0,052675279;0,888723736;877;0,85
0,048323599;0,87111882;673;0,85
0,041733945;0,839161278;544;0,85
0,054528085;0,990974735;672;0,85
0,049768026;0,660829649;551;0,85
0,052435106;0,787404416;721;0,85
0,054601736;0,802226939;704;0,85
0,063181406;0,706085183;911;0,85
0,035036801;0,679135035;709;0,85
0,019812691;0,874338464;416;0,85
0,091397801;0,878136914;1085;0,85
0,091191295;0,972520828;751;0,85
0,07123037;0,911234784;599;0,85
0,041929481;0,935687099;757;0,85
0,042679955;0,409321906;1327;0,85
0,091158848;0,828440539;1345;0,85
0,028670213;0,752740271;1215;0,85
0,052332037;0,563704065;540;0,85
0,054601736;0,934356977;579;0,85
0,058142711;0,731846073;802;0,85
0,04233152;0,835720272;813;0,85
0,059807587;0,642829611;753;0,85
0,058718863;0,28751488;581;0,85
0,040443603;0,64020904;965;0,85
0,041997544;0,814763503;830;0,85
0,048439494;0,913036194;959;0,85
0,049331139;0,941185701;879;0,85
0,042337218;0,697857459;600;0,85
0,047346069;0,68793642;671;0,85
0,039546827;0,638947188;600;0,85
0,051070871;0,941414121;604;0,85
0,0532086;0,797906003;475;0,85
0,052596721;0,691541573;735;0,85
0,065694742;0,7624434;607;0,85
0,058202954;0,562822202;1117;0,85
0,048203315;0,888723736;902;0,85
0,047482492;0,808830243;877;0,85
0,049848645;0,663497296;1008;0,85
0,052672466;0,731309266;308;0,85
0,062486417;0,880429256;710;0,85
0,05464859;0,303907497;846;0,85
0,045500357;0,652734087;917;0,85
0,055143493;0,928219642;673;0,85
0,057926308;0,77759558;452;0,85
0,046580351;0,555529963;843;0,85
0,022921886;0,58483506;1045;0,85
0,085284354;0,872877875;386;0,85
0,040807504;0,633206328;1210;0,85
0,065748377;0,611936429;352;0,85
0,010414023;0,649654369;216;0,85
0,038512888;0,881088912;562;0,85
0,095123437;0,955489508;650;0,85
0,04625907;0,872399406;608;0,85
0,042979934;0,942192274;904;0,85
0,03971405;0,716236572;562;0,85
0,049032287;0,808985129;309;0,85
0,07797908;0,895326427;923;0,85
0,046522631;0,37303716;667;0,85
0,052454679;0,858024304;633;0,85
0,055277511;0,686730218;914;0,85
0,045269989;0,810775788;669;0,85
0,055277511;0,686730218;914;0,85
0,054905392;0,832576374;776;0,85
0,049707268;0,666689067;340;0,85
0,053223363;0,819066568;875;0,85
0,054933822;0,961287731;804;0,85
0,050155057;0,877890107;757;0,85
0,052971206;0,842478058;875;0,85
0,04812511;0,83381533;672;0,85
0,045932072;0,651919473;442;0,85
0,052057235;0,759112339;876;0,85
0,044871299;0,701744116;576;0,85
0,04687482;0,552936174;882;0,85
0,047567046;0,289915363;1247;0,85
0,047140498;0,889816652;812;0,85
0,04809029;0,890875129;660;0,85
0,106237209;0,926799734;1346;0,85
0,106237209;0,934105684;1182;0,85
0,006473086;0,927668806;1178;0,85
0,0592939;0,708380051;871;0,85
0,032724441;0,942192274;1288;0,85
0,04678704;0,915523245;591;0,85
0,053448923;0,952884289;635;0,85
0,05718809;0,911214969;825;0,85
0,056071578;0,937459584;749;0,85
0,040643746;0,835319248;763;0,85
0,051190341;0,992456268;676;0,85
0,038129289;0,780940577;892;0,85
0,041518554;0,797605525;823;0,85
0,05305602;0,747306991;580;0,85
0,066176988;0,530015779;645;0,85
0,069050914;0,800256215;578;0,85
0,045587884;0,893671582;860;0,85
0,051510943;0,339618653;722;0,85
0,038047994;0,720876714;710;0,85
0,0548431;0,795792994;914;0,85
0,038047994;0,70690444;710;0,85
0,058174541;0,665387369;284;0,85
0,054432584;0,985806177;897;0,85
0,046039526;0,955971878;826;0,85
0,054355387;0,97570054;897;0,85
0,045242664;0,913452251;631;0,85
0,083960001;0,718551497;843;0,85
0,071192694;0,701104509;681;0,85
0,069304362;0,518780373;1191;0,85
0,048413695;0,691525961;1265;0,85
0,058443715;0,657788042;467;0,85
0,077979269;0,987138733;569;0,85
0,054661245;0,666479367;473;0,85
0,061495835;0,922004771;654;0,85
0,054610078;0,612366164;310;0,85
0,048183783;0,936887264;555;0,85
0,056015197;0,872651623;911;0,85
0,006473086;0,776540385;368;0,85
0,088192025;0,610220554;1134;0,85
0,067433587;0,533445003;1204;0,85
0,035237636;0,618481276;1240;0,85
0,052466271;0,610220554;984;0,85
0,085810744;0,864774825;1024;0,85
0,046978543;0,953259049;785;0,85
0,064318389;0,751061227;1032;0,85
0,060508056;0,387943873;1099;0,85
0,052748336;0,670485717;515;0,85
0,022377139;0,716236572;1222;0,85
0,052060291;0,998128981;862;0,85
0,052901534;0,980843509;740;0,85
0,062516306;0,723833268;654;0,85
0,056858297;0,693861362;587;0,85
0,042105959;0,668206223;681;0,85
0,056498068;0,94956871;463;0,85
0,051706916;0,92414025;718;0,85
0,046205251;0,867849335;899;0,85
0,061056572;0,733030635;519;0,85
0,044602537;0,888691544;778;0,85
0,052773999;0,76112131;679;0,85
0,045473414;0,783823587;508;0,85
0,043671749;0,353096323;959;0,85
0,038047994;0,628347426;343;0,85
0,054451049;0,996553395;890;0,85
0,042896664;0,989403763;742;0,85
0,051711336;0,874694595;862;0,85
0,052500556;0,75512077;513;0,85
0,052493492;0,848218928;580;0,85
0,055315243;0,971120231;642;0,85
0,037550892;0,971928528;524;0,85
0,062014212;0,971039665;709;0,85
0,014237784;0,729699112;617;0,85
0,050215884;0,922086577;608;0,85
0,061436706;0,451193328;484;0,85
0,081262601;0,755970986;982;0,85
0,045695706;0,802771205;708;0,85
0,05658541;0,83631581;798;0,85
0,05203452;0,993334133;599;0,85
0,05658541;0,814375649;798;0,85
0,051535972;0,562909857;651;0,85
0,0523655;0,999728922;904;0,85
0,043742498;0,679830398;593;0,85
0,033796821;0,790604774;807;0,85
0,052318246;0,856326669;781;0,85
0,05392554;0,690956674;466;0,85
0,049768026;0,906810444;670;0,85
0,042622704;0,678700114;880;0,85
0,04604826;0,862815779;987;0,85
0,044140758;0,766343055;630;0,85
0,064792348;0,898089305;695;0,85
0,053258668;0,861554596;797;0,85
0,052091433;0,795269504;446;0,85
0,048482205;0,725533108;722;0,85
0,058635157;0,914950537;695;0,85
0,05494198;0,775266223;872;0,85
0,06493174;0,874206038;583;0,85
0,077952844;0,942072869;609;0,85
0,010355178;0,739196157;857;0,85
0,085534764;0,852476288;677;0,85
0,04184763;0,819932024;974;0,85
0,042543024;0,848484337;964;0,85
0,039884409;0,973483061;1096;0,85
0,041606714;0,910372247;1031;0,85
0,026347487;0,836419967;701;0,85
0,032629257;0,697195706;769;0,85
0,044381919;0,738199596;1100;0,85
0,049081622;0,518603541;935;0,85
0,04955151;0,812822323;567;0,85
0,058174541;0,707916921;494;0,85
0,040643746;0,745920893;937;0,85
0,035151947;0,735980067;985;0,85
0,049999279;0,859711385;779;0,85
0,039669974;0,65041534;812;0,85
0,042681679;0,670814128;953;0,85
0,052186052;0,781288481;668;0,85
0,050296724;0,796109416;696;0,85
0,062417152;0,916759552;607;0,85
0,044740458;0,990970676;772;0,85
0,053357123;0,886800791;855;0,85
0,053336064;0,318844669;702;0,85
0,04114406;0,79241997;781;0,85
0,058671386;0,769932395;700;0,85
0,048213033;0,763275149;607;0,85
0,052318246;0,799718573;551;0,85
0,052943385;0,719766282;803;0,85
0,043458288;0,83874048;747;0,85
0,052493492;0,719905301;563;0,85
0,049998013;0,947589522;603;0,85
0,055912652;0,623664448;772;0,85
0,052371004;0,83631581;880;0,85
0,054400776;0,687435101;922;0,85
